Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
1,USA,"33,716,150",+199,"600,148",+1,"27,136,020",,"5,979,982","7,971","101,342","1,804","466,056,452","1,400,847","332,696,143",North America,10,554,1,0.6,,"17,974"
2,India,"24,965,463",+538,"274,411",,"21,174,076","+6,467","3,516,976","8,944","17,937",197,"316,423,658","227,344","1,391,827,403",Asia,56,"5,072",4,0.4,,"2,527"
3,Brazil,"15,627,475",,"435,823",,"14,097,287",,"1,094,365","8,318","73,068","2,038","47,073,060","220,094","213,877,218",South America,14,491,5,,,"5,117"
4,France,"5,877,787",,"107,616",,"5,116,705",,"653,466","4,255","89,875","1,646","81,239,297","1,242,197","65,399,664",Europe,11,608,1,,,"9,992"
5,Turkey,"5,117,374",,"44,760",,"4,947,256",,"125,358","2,468","60,113",526,"50,869,896","597,558","85,129,663",Asia,17,"1,902",2,,,"1,473"
6,Russia,"4,949,573","+9,328","116,211",+340,"4,563,254","+7,181","270,108","2,300","33,904",796,"133,800,000","916,507","145,989,144",Europe,29,"1,256",1,64,2,"1,850"
7,UK,"4,450,777",,"127,679",,"4,277,207",,"45,891",129,"65,263","1,872","169,007,195","2,478,213","68,197,203",Europe,15,534,0,,,673
8,Italy,"4,159,122",,"124,156",,"3,706,084",,"328,882","1,779","68,878","2,056","62,902,667","1,041,709","60,384,095",Europe,15,486,1,,,"5,447"
9,Spain,"3,604,799",,"79,339",,"3,297,340",,"228,120","1,899","77,074","1,696","47,213,067","1,009,460","46,770,603",Europe,13,590,1,,,"4,877"
10,Germany,"3,602,939",,"86,731",,"3,300,700","+14,300","215,508","4,123","42,883","1,032","58,093,759","691,445","84,017,867",Europe,23,969,1,,,"2,565"
11,Argentina,"3,307,285",,"70,522",,"2,952,599",,"284,164","5,538","72,596","1,548","12,399,366","272,171","45,557,248",South America,14,646,4,,,"6,238"
12,Colombia,"3,118,426",,"81,300",,"2,917,584",,"119,542","6,582","60,722","1,583","15,925,025","310,095","51,355,369",South America,16,632,3,,,"2,328"
13,Poland,"2,855,190","+1,109","71,675",+11,"2,605,703","+4,729","177,812","1,572","75,513","1,896","15,184,082","401,585","37,810,373",Europe,13,528,2,29,0.3,"4,703"
14,Iran,"2,765,485","+14,319","77,222",+286,"2,242,023","+15,901","446,240","5,264","32,562",909,"18,151,487","213,726","84,928,868",Asia,31,"1,100",5,169,3,"5,254"
15,Mexico,"2,381,923","+1,233","220,433",+53,"1,901,322","+1,580","260,168","4,798","18,307","1,694","6,852,082","52,663","130,112,930",North America,55,590,19,9,0.4,"2,000"
16,Ukraine,"2,156,000","+2,136","48,184",+109,"1,864,593","+6,869","243,223",177,"49,559","1,108","9,841,788","226,228","43,503,769",Europe,20,903,4,49,3,"5,591"
17,Peru,"1,889,052",,"66,220",,"1,720,665",,"102,167","2,680","56,607","1,984","12,091,820","362,339","33,371,555",South America,18,504,3,,,"3,061"
18,Indonesia,"1,744,045","+4,295","48,305",+212,"1,606,611","+5,754","89,129",,"6,318",175,"15,528,037","56,252","276,043,430",Asia,158,"5,715",18,16,0.8,323
19,Czechia,"1,653,099",+257,"29,913",+6,"1,596,931",+24,"26,255",250,"154,116","2,789","21,389,353","1,994,097","10,726,335",Europe,6,359,1,24,0.6,"2,448"
20,South Africa,"1,613,728",,"55,210",,"1,524,352",,"34,166",546,"26,914",921,"11,115,048","185,375","59,959,712",Africa,37,"1,086",5,,,570
21,Netherlands,"1,598,164",,"17,449",,"1,369,594",,"211,121",681,"93,090","1,016","13,524,699","787,786","17,167,986",Europe,11,984,1,,,"12,297"
22,Canada,"1,328,582",,"24,948",,"1,233,287",,"70,347","1,344","34,935",656,"33,482,165","880,400","38,030,617",North America,29,"1,524",1,,,"1,850"
23,Chile,"1,286,548",,"27,832",,"1,220,351",,"38,365","2,954","66,802","1,445","13,947,396","724,192","19,259,250",South America,15,692,1,,,"1,992"
