Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
1,USA,"42,634,054",,"688,486",,"32,347,726","9,597,842","25,209","127,897","2,065","615,684,393","1,846,976","333,347,223",North America,8,484,1,,,"28,792"
2,India,"33,381,728","+1,206","444,278",,"32,598,424","339,026","8,944","23,906",318,"547,701,729","392,229","1,396,383,360",Asia,42,"3,143",3,0.9,,243
3,Brazil,"21,069,017",,"589,277",,"20,173,064","306,676","8,318","98,277","2,749","57,095,219","266,322","214,384,223",South America,10,364,4,,,"1,430"
4,UK,"7,339,009",,"134,805",,"5,907,029","1,297,175","1,081","107,426","1,973","288,664,707","4,225,384","68,316,802",Europe,9,507,0,,,"18,988"
5,Russia,"7,234,425","+19,905","196,626",+791,"6,469,017","568,782","2,300","49,547","1,347","185,600,000","1,271,145","146,010,102",Europe,20,743,1,136,5,"3,895"
6,France,"6,934,732",,"115,894",,"6,595,374","223,464","2,000","105,958","1,771","134,787,318","2,059,455","65,448,064",Europe,9,565,0,,,"3,414"
7,Turkey,"6,767,008",,"60,903",,"6,262,690","443,415",633,"79,207",713,"81,422,835","953,044","85,434,482",Asia,13,"1,403",1,,,"5,190"
8,Iran,"5,378,408",,"116,072",,"4,682,704","579,632","6,981","63,060","1,361","30,123,729","353,191","85,290,152",Asia,16,735,3,,,"6,796"
9,Argentina,"5,234,851",,"114,101",,"5,087,120","33,630","1,614","114,557","2,497","24,252,818","530,737","45,696,487",South America,9,400,2,,,736
10,Colombia,"4,936,052",,"125,782",,"4,774,661","35,609",542,"95,776","2,441","24,920,135","483,534","51,537,524",South America,10,410,2,,,691
11,Spain,"4,926,324",,"85,739",,"4,625,052","215,533","1,058","105,316","1,833","63,040,355","1,347,688","46,776,669",Europe,9,546,1,,,"4,608"
12,Italy,"4,623,155",,"130,167",,"4,376,646","116,342",531,"76,600","2,157","88,516,407","1,466,612","60,354,334",Europe,13,464,1,,,"1,928"
13,Indonesia,"4,181,309",,"139,919",,"3,968,152","73,238",,"15,094",505,"35,557,405","128,359","277,014,855",Asia,66,"1,980",8,,,264
14,Germany,"4,129,138",,"93,454",,"3,873,700","161,984","1,217","49,093","1,111","70,379,237","836,776","84,107,665",Europe,20,900,1,,,"1,926"
15,Mexico,"3,549,229","+7,040","270,346",+434,"2,897,667","381,216","4,798","27,183","2,071","10,302,152","78,903","130,567,887",North America,37,483,13,54,3,"2,920"
16,Poland,"2,896,599",+652,"75,473",+8,"2,658,812","162,314",101,"76,637","1,997","20,373,472","539,031","37,796,497",Europe,13,501,2,17,0.2,"4,294"
17,South Africa,"2,873,415",,"85,779",,"2,706,293","81,343",546,"47,722","1,425","17,236,691","286,272","60,210,991",Africa,21,702,3,,,"1,351"
18,Ukraine,"2,338,164","+6,624","54,750",+99,"2,228,543","54,871",177,"53,855","1,261","12,412,498","285,897","43,415,936",Europe,19,793,3,153,2,"1,264"
19,Philippines,"2,324,475","+20,336","36,328",,"2,100,039","188,108","3,170","20,877",326,"20,047,991","180,060","111,340,780",Asia,48,"3,065",6,183,,"1,689"
20,Peru,"2,164,380",,"198,891",,N/A,N/A,"1,071","64,558","5,932","17,377,197","518,321","33,525,950",South America,15,169,2,,,"7,303"
21,Malaysia,"2,049,750",,"22,355",,"1,800,278","227,117","1,234","62,366",680,"28,070,385","854,076","32,866,366",Asia,16,"1,470",1,,,"6,910"
22,Netherlands,"1,979,114",,"18,097",,"1,888,337","72,680",205,"115,194","1,053","16,873,290","982,108","17,180,691",Europe,9,949,1,,,"4,230"
23,Iraq,"1,967,187",,"21,683",,"1,846,158","99,346",626,"47,620",525,"14,895,398","360,579","41,309,684",Asia,21,"1,905",3,,,"2,405"
24,Czechia,"1,685,435",+550,"30,427",,"1,649,999","5,009",29,"157,033","2,835","37,217,798","3,467,607","10,732,992",Europe,6,353,0,51,,467
25,Japan,"1,663,024","+5,990","17,030",+71,"1,551,847","94,147","1,615","13,198",135,"23,738,142","188,386","126,008,257",Asia,76,"7,399",5,48,0.6,747
26,Chile,"1,645,820",,"37,293",,"1,602,703","5,824",463,"85,212","1,931","21,081,270","1,091,483","19,314,333",South America,12,518,1,,,302
27,Canada,"1,564,089",,"27,325",,"1,493,619","43,145",638,"41,007",716,"41,861,477","1,097,525","38,141,706",North America,24,"1,396",1,,,"1,131"
28,Bangladesh,"1,538,203",,"27,109",,"1,494,090","17,004","1,432","9,229",163,"9,363,609","56,181","166,670,080",Asia,108,"6,148",18,,,102
29,Thailand,"1,448,792","+14,555","15,124",+171,"1,304,247","129,421","4,387","20,694",216,"9,201,621","131,430","70,011,638",Asia,48,"4,629",8,208,2,"1,849"
30,Pakistan,"1,218,749","+2,928","27,072",+68,"1,125,952","65,725","4,960","5,391",120,"18,740,356","82,899","226,061,599",Asia,185,"8,350",12,13,0.3,291
31,Belgium,"1,217,473","+2,359","25,494",+8,"1,129,393","62,586",214,"104,499","2,188","19,385,534","1,663,914","11,650,562",Europe,10,457,1,202,0.7,"5,372"
32,Israel,"1,208,403",,"7,465",,"1,117,027","83,911",654,"129,574",800,"20,314,879","2,178,306","9,326,000",Asia,8,"1,249",0,,,"8,998"
33,Sweden,"1,143,973",,"14,711",,"1,099,562","29,700",48,"112,426","1,446","12,167,135","1,195,749","10,175,328",Europe,9,692,1,,,"2,919"
34,Romania,"1,135,027",,"35,286",,"1,073,552","26,189",741,"59,480","1,849","12,125,293","635,416","19,082,444",Europe,17,541,2,,,"1,372"
35,Portugal,"1,059,409",,"17,888",,"1,006,356","35,165",103,"104,265","1,760","17,806,549","1,752,483","10,160,757",Europe,10,568,1,,,"3,461"
36,Morocco,"913,423",,"13,775",,"872,976","26,672",884,"24,398",368,"9,447,326","252,342","37,438,534",Africa,41,"2,718",4,,,712
37,Kazakhstan,"854,742","+3,081","10,611",+62,"779,869","64,262",221,"44,874",557,"11,575,012","607,684","19,047,747",Asia,22,"1,795",2,162,3,"3,374"
38,Serbia,"846,114",,"7,664",,"748,262","90,188",156,"97,313",881,"5,342,565","614,455","8,694,808",Europe,10,"1,135",2,,,"10,373"
39,Switzerland,"820,980",,"11,010",,"733,095","76,875",261,"94,030","1,261","10,315,436","1,181,465","8,731,058",Europe,11,793,1,,,"8,805"
40,Hungary,"817,159",+479,"30,123",+5,"779,777","7,259",41,"84,849","3,128","6,768,975","702,855","9,630,690",Europe,12,320,1,50,0.5,754
41,Jordan,"811,463",,"10,586",,"788,398","12,479",518,"78,589","1,025","9,706,117","940,022","10,325,411",Asia,13,975,1,,,"1,209"
42,Nepal,"781,989",,"11,002",,"745,215","25,772",,"26,269",370,"4,068,591","136,674","29,768,564",Asia,38,"2,706",7,,,866
43,Cuba,"776,125",,"6,601",,"730,673","38,851",458,"68,573",583,"8,835,501","780,641","11,318,258",North America,15,"1,715",1,,,"3,433"
44,UAE,"731,307",,"2,069",,"722,723","6,515",,"72,878",206,"79,589,959","7,931,546","10,034,608",Asia,14,"4,850",0,,,649
45,Austria,"718,091",,"10,870",,"684,548","22,673",202,"79,185","1,199","82,216,463","9,066,186","9,068,473",Europe,13,834,0,,,"2,500"
46,Tunisia,"697,421",,"24,383",,"668,072","4,966",400,"58,274","2,037","2,830,291","236,490","11,967,895",Africa,17,491,4,,,415
47,Vietnam,"656,129",,"16,425",,"423,551","216,153",,"6,668",167,"42,517,091","432,102","98,396,006",Asia,150,"5,991",2,,,"2,197"
48,Greece,"625,083",,"14,354",,"584,356","26,373",359,"60,328","1,385","17,406,729","1,679,947","10,361,475",Europe,17,722,1,,,"2,545"
49,Lebanon,"616,179",,"8,224",,"576,672","31,283",200,"90,768","1,211","4,780,275","704,175","6,788,478",Asia,11,825,1,,,"4,608"
50,Georgia,"591,766","+2,039","8,446",+56,"556,810","26,510",,"148,688","2,122","8,587,539","2,157,722","3,979,909",Asia,7,471,0,512,14,"6,661"
51,Saudi Arabia,"546,336",,"8,645",,"535,309","2,382",405,"15,404",244,"28,248,324","796,451","35,467,756",Asia,65,"4,103",1,,,67
52,Guatemala,"521,093",,"12,907",,"468,216","39,970",5,"28,452",705,"2,373,843","129,612","18,315,046",North America,35,"1,419",8,,,"2,182"
53,Belarus,"510,481",,"3,966",,"498,655","7,860",,"54,045",420,"8,118,970","859,554","9,445,566",Europe,19,"2,382",1,,,832
54,Ecuador,"505,860",,"32,559",,"443,880","29,421",759,"28,156","1,812","1,798,012","100,078","17,966,183",South America,36,552,10,,,"1,638"
55,Costa Rica,"502,362",,"5,919",,"404,719","91,724",489,"97,541","1,149","2,214,843","430,043","5,150,280",North America,10,870,2,,,"17,810"
56,Sri Lanka,"498,694",,"11,817",,"428,590","58,287",,"23,172",549,"4,950,195","230,009","21,521,726",Asia,43,"1,821",4,,,"2,708"
57,Bolivia,"496,032",,"18,616",,"448,704","28,712",220,"41,806","1,569","2,349,096","197,983","11,865,122",South America,24,637,5,,,"2,420"
58,Bulgaria,"478,885",,"19,876",,"419,410","39,599",396,"69,553","2,887","4,560,069","662,304","6,885,163",Europe,14,346,2,,,"5,751"
59,Azerbaijan,"467,173",,"6,227",,"423,705","37,241",,"45,580",608,"4,702,934","458,844","10,249,517",Asia,22,"1,646",2,,,"3,633"
60,Panama,"463,459",,"7,166",,"451,966","4,327",108,"105,411","1,630","3,783,274","860,484","4,396,682",North America,9,614,1,,,984
61,Paraguay,"459,524",,"16,120",,"441,169","2,235",40,"63,485","2,227","1,810,321","250,104","7,238,263",South America,16,449,4,,,309
62,Myanmar,"440,741",,"16,869",,"391,268","32,604",,"8,035",308,"4,047,680","73,795","54,850,343",Asia,124,"3,252",14,,,594
63,Kuwait,"411,018",,"2,436",,"407,620",962,23,"94,557",560,"4,003,280","920,982","4,346,752",Asia,11,"1,784",1,,,221
64,Slovakia,"401,250",+902,"12,569",+3,"382,966","5,715",54,"73,451","2,301","3,485,349","638,011","5,462,839",Europe,14,435,2,165,0.5,"1,046"
65,Croatia,"388,260",,"8,472",,"372,145","7,643",72,"95,287","2,079","2,695,369","661,498","4,074,643",Europe,10,481,2,,,"1,876"
66,Uruguay,"387,299",,"6,046",,"379,573","1,680",13,"111,029","1,733","3,480,276","997,706","3,488,277",South America,9,577,1,,,482
67,Palestine,"379,635",,"3,871",,"343,351","32,413",79,"72,391",738,"2,359,999","450,018","5,244,235",Asia,14,"1,355",2,,,"6,181"
68,Ireland,"371,301",,"5,179",,"319,927","46,195",67,"74,196","1,035","6,918,733","1,382,542","5,004,357",Europe,13,966,1,,,"9,231"
69,Honduras,"356,707",+765,"9,452",+14,"108,225","239,030",530,"35,336",936,"1,012,717","100,323","10,094,582",North America,28,"1,068",10,76,1,"23,679"
70,Dominican Republic,"354,443",,"4,025",,"345,456","4,962",134,"32,283",367,"2,010,899","183,155","10,979,230",North America,31,"2,728",5,,,452
71,Denmark,"353,744",,"2,619",,"344,824","6,301",26,"60,814",450,"82,694,744","14,216,418","5,816,848",Europe,16,"2,221",0,,,"1,083"
72,Venezuela,"352,055",,"4,261",,"336,034","11,760",681,"12,423",150,"3,359,014","118,532","28,338,512",South America,80,"6,651",8,,,415
73,Libya,"328,856",,"4,480",,"243,672","80,704",,"47,087",641,"1,608,913","230,371","6,984,020",Africa,21,"1,559",4,,,"11,556"
74,Ethiopia,"328,735",,"5,059",,"295,604","28,072",806,"2,777",43,"3,358,285","28,366","118,392,154",Africa,360,"23,402",35,,,237
75,Lithuania,"313,692","+1,197","4,763",+6,"290,984","17,945",145,"117,211","1,780","4,693,584","1,753,755","2,676,306",Europe,9,562,1,447,2,"6,705"
76,Oman,"303,309",,"4,092",,"293,618","5,599",27,"57,631",778,"25,000,000","4,750,165","5,262,975",Asia,17,"1,286",0,,,"1,064"
77,Egypt,"295,051",,"16,921",,"248,425","29,705",90,"2,819",162,"3,068,679","29,320","104,660,822",Africa,355,"6,185",34,,,284
78,S. Korea,"281,938","+2,008","2,389",+3,"254,094","25,455",332,"5,493",47,"13,938,959","271,595","51,322,517",Asia,182,"21,483",4,39,0.06,496
79,Slovenia,"280,544",,"4,486",,"264,155","11,903",46,"134,923","2,157","1,512,931","727,621","2,079,283",Europe,7,464,1,,,"5,725"
80,Moldova,"279,143",,"6,569",,"265,144","7,430",142,"69,393","1,633","1,673,626","416,053","4,022,626",Europe,14,612,2,,,"1,847"
81,Bahrain,"274,041",,"1,388",,"271,775",878,2,"154,594",783,"6,219,122","3,508,370","1,772,653",Asia,6,"1,277",0,,,495
82,Mongolia,"269,476","+2,796","1,083",+9,"250,200","18,193",192,"80,634",324,"3,855,199","1,153,576","3,341,954",Asia,12,"3,086",1,837,3,"5,444"
83,Armenia,"252,082",+759,"5,101",+26,"235,030","11,951",,"84,878","1,718","1,639,000","551,864","2,969,937",Asia,12,582,2,256,9,"4,024"
84,Kenya,"245,337",,"4,961",,"235,469","4,907",118,"4,445",90,"2,478,820","44,908","55,198,079",Africa,225,"11,126",22,,,89
85,Qatar,"235,187",,604,,"232,817","1,766",17,"83,762",215,"2,589,951","922,411","2,807,805",Asia,12,"4,649",1,,,629
86,Bosnia and Herzegovina,"224,862",,"10,161",,"192,218","22,483",,"69,058","3,121","1,185,467","364,072","3,256,133",Europe,14,320,3,,,"6,905"
87,Zambia,"208,267",,"3,636",,"203,708",923,60,"10,959",191,"2,375,797","125,019","19,003,464",Africa,91,"5,226",8,,,49
88,Algeria,"200,989",,"5,651",,"137,410","57,928",24,"4,486",126,"230,861","5,153","44,805,602",Africa,223,"7,929",194,,,"1,293"
89,Nigeria,"200,957",,"2,647",,"189,346","8,964",11,947,12,"2,942,578","13,861","212,291,006",Africa,"1,056","80,201",72,,,42
90,North Macedonia,"185,450",,"6,367",,"166,099","12,984",,"89,019","3,056","1,238,106","594,309","2,083,271",Europe,11,327,2,,,"6,233"
